id_student,code_module,week,anomaly_score,combined_score,curriculum_compliance,at_risk
6516,AAA,3,0.11621448,0.11455095542871853,0.8865580623612818,0
6516,AAA,4,0.019333823,0.2577335289679468,0.5833333333333333,0
6516,AAA,5,0.011616778,0.2688117897535967,0.5597248688297789,0
6516,AAA,6,0.0034817897,0.47335427616331455,0.2133973996608253,0
6516,AAA,7,0.13817373,0.06818567196181946,0.9784730316093972,0
6516,AAA,10,0.057809748,-0.16642936513007095,1.315922107674685,0
6516,AAA,11,0.015971525,0.23608449527307382,0.6171735241502684,0
6516,AAA,12,0.005281081,0.5292736361399493,0.1213979937384192,0
6516,AAA,13,0.0057747373,0.5379652768321749,0.1072410300925925,0
6516,AAA,14,0.021301953,0.44015435056658486,0.2806107174932641,0
6516,AAA,15,0.0093804095,0.32817161232023534,0.4593009192065795,0
6516,AAA,16,0.045260243,0.09839287810381481,0.8661853646179665,0
8462,DDD,3,0.054660212,0.4167751442898136,0.341814900395138,1
8462,DDD,4,0.03105949,0.09786358208605632,0.8576003574886424,1
8462,DDD,5,0.0213189,0.323514058809429,0.475022502250225,1
8462,DDD,6,0.022589406,0.12242861954229217,0.8110119047619048,1
8462,DDD,7,0.009459003,0.38407068244306347,0.3661881977671451,1
8462,DDD,10,0.016677607,0.3252515773251692,0.4690324422034059,1
8462,DDD,11,0.007192637,0.4485801797360182,0.2571614583333333,1
8462,DDD,12,0.062500685,0.15529660323930494,0.7828394515701017,1
8462,DDD,13,0.018940277,0.2685469850248575,0.5650485436893204,1
8462,DDD,14,0.016639406,0.5391942664048064,0.112435826721541,1
8462,DDD,15,0.026020924,0.3871440207571071,0.3721072484453053,1
8462,DDD,16,0.025045797,0.398636597164976,0.3523028695442488,1
11391,AAA,4,0.009572107,0.3973071037609454,0.3442028985507246,0
11391,AAA,5,0.030360823,0.37243564531436874,0.3995144744054922,0
11391,AAA,6,0.019471731,0.45024205608321843,0.2625777275296778,0
11391,AAA,7,0.06224945,0.4226473811512612,0.3370873295606139,0
11391,AAA,10,0.0046611493,0.5109366246633058,0.1515463917525773,0
11391,AAA,11,0.06312613,0.33019717513218017,0.4917554639495994,0
11391,AAA,12,0.016584387,0.53379495857658,0.1213979937384192,0
11391,AAA,13,0.0050733313,0.5318253395095881,0.1170066550925925,0
11391,AAA,14,0.012531946,0.46155404191225896,0.2390978944217144,0
11391,AAA,15,0.006356636,0.5170927270869785,0.1424165457184325,0
23629,BBB,3,0.016583277,0.5369989471918684,0.1160572730875941,0
23629,BBB,5,0.0039559924,0.5087787988306982,0.1546726636681659,0
23629,BBB,7,0.12882634,0.36650012400916876,0.4750506870916873,0
23629,BBB,10,0.016988205,0.5185727700586635,0.1470375199188758,0
23629,BBB,12,0.08897998,0.352679968609534,0.4715200414523113,0
23698,CCC,3,0.029691206,0.33437648251652713,0.4625,0
23698,CCC,4,0.019370142,0.5410916690164518,0.1110939801966628,0
23698,CCC,5,0.0042108856,0.4293152769622126,0.2872817955112219,0
23698,CCC,7,0.0053026155,0.5021745221213224,0.1665775401069518,0
23698,CCC,13,0.016589288,0.5355637622433722,0.1184532550171316,0
23698,CCC,15,0.01699986,0.3888015315656192,0.3633306869658618,0
23798,BBB,3,0.010029368,0.3273321992703287,0.4611325802615933,0
23798,BBB,4,0.031653907,0.228504326782273,0.6402620607504468,0
23798,BBB,5,0.0065927273,0.42047817032020457,0.3035982008995502,0
23798,BBB,6,0.02855063,0.47024716475133393,0.235288479969331,0
23798,BBB,10,0.017879691,0.3516108074758537,0.4259017818339852,0
23798,BBB,11,0.036328107,0.41516502607258626,0.3322770276476531,0
23798,BBB,12,0.01344057,0.44082535652248606,0.2742514526814464,0
23798,BBB,13,0.024338977,0.28834087888531745,0.5356578531549563,0
23798,BBB,14,0.03165983,0.340248002447697,0.4540265501157898,0
23798,BBB,15,0.015764186,0.4103444585473113,0.3266020266822191,0
23798,BBB,16,0.010592645,0.4301763491278245,0.2901011816316422,0
24186,GGG,4,0.117932566,0.3051263083729715,0.5700778642936596,0
24186,GGG,5,0.0077269524,0.469757447593535,0.2222222222222222,0
24186,GGG,7,0.018252162,0.5023984485482416,0.1748373605947955,0
24186,GGG,10,0.08724065,0.4214654109262405,0.355718085106383,0
24186,GGG,11,0.0055301934,0.4872008017639703,0.1916854593587606,0
24186,GGG,15,0.01730149,0.5122777389761592,0.1577380952380952,0
24186,GGG,16,0.04662922,0.5275058551381031,0.1519097222222222,0
24213,DDD,3,0.01825653,0.04864033886045531,0.931103788676356,0
24213,DDD,4,0.014694626,0.2434737394578489,0.6040068518656438,0
24213,DDD,5,0.011011514,0.30710487585895363,0.4954995499549954,0
24213,DDD,6,0.049318552,0.3821282155752655,0.3959986772486772,0
24213,DDD,7,0.11457443,0.31874843323630003,0.5451355661881978,0
24213,DDD,10,0.23872723,0.06657832742556788,1.0481876129768812,0
24213,DDD,11,0.022526845,0.16174511369317768,0.7454427083333334,0
24213,DDD,12,0.02266152,0.3448010080766257,0.4404393336281881,0
24213,DDD,14,0.02157431,0.43513912139000094,0.2891510034367177,0
24213,DDD,15,0.07095976,0.3859534840261396,0.4040507017365005,0
24213,DDD,16,0.0892674,0.26235273141519033,0.622257053291536,0
24391,GGG,3,0.014660886,0.17246271497188287,0.7223360655737705,0
24391,GGG,4,0.014905753,0.4264294868076139,0.2992213570634038,0
24391,GGG,5,0.0048370683,0.4686014939720432,0.2222222222222222,0
24391,GGG,6,0.05980655,0.4172583169026848,0.3444405057308283,0
24391,GGG,7,0.0056930534,0.463917555870336,0.2305994423791821,0
24391,GGG,10,0.021730037,0.38927712134541353,0.3656914893617021,0
24391,GGG,12,0.02753129,0.37493927874255895,0.3934553954031944,0
24391,GGG,13,0.06665282,-0.15905315790857588,1.3095238095238095,0
24391,GGG,14,0.027962508,0.16544463833299056,0.7429006085192698,0
24391,GGG,15,0.022465028,0.27684315400464193,0.5535714285714286,0
24391,GGG,16,0.0065984046,0.46461852855669955,0.2300347222222222,0
24734,AAA,3,0.008145281,0.5147908554903372,0.1474454284913914,0
24734,AAA,4,0.0049525173,0.469372311283065,0.2210144927536231,0
24734,AAA,6,0.017043633,0.5501752828229419,0.0944036178631995,0
24734,AAA,10,0.016634006,0.5397807504670036,0.1114547537227949,0
24734,AAA,11,0.006309965,0.5177063770724845,0.1413626818075756,0
24734,AAA,12,0.014933553,0.355925500776511,0.4167465337678103,0
24734,AAA,13,0.0049603255,0.4732948942472124,0.2144820601851851,0
24734,AAA,14,0.007984891,0.46775837106321283,0.2257259754515517,0
24734,AAA,15,0.016932143,0.5469639553693423,0.0996815029833897,0
24734,AAA,16,0.050742127,0.34728459696956643,0.4550204236724613,0
25107,BBB,3,0.016620819,0.5334467819107832,0.1220025762980578,0
25107,BBB,4,0.039773516,0.3997092881693131,0.3603335318642049,0
25107,BBB,5,0.08880285,0.18874453049058135,0.7446276861569217,0
25107,BBB,6,0.049765512,0.22981132394031695,0.6501581368602645,0
25107,BBB,7,0.18866476,0.1101358808508244,0.9422167154764588,0
25107,BBB,10,0.05249774,-0.09347287237527624,1.190786614515428,0
